domain,method,seen,unseen,H-mean
old -> strutting,base,73.33 ± 10.54,5.50 ± 5.50,6.62 ± 6.62
old -> strutting,VisTA,42.63 ± 11.17,34.62 ± 10.40,24.02 ± 10.04
old -> strutting,CCVAE,71.67 ± 10.14,5.50 ± 5.50,6.62 ± 6.62
old -> strutting,our_GRE,71.67 ± 10.14,16.31 ± 8.17,20.12 ± 9.23
old -> strutting,TUPL,96.42 ± 2.34,41.80 ± 11.60,52.83 ± 13.19
old -> strutting,our_TUPL_interp_src2tgt,95.03 ± 4.19,48.29 ± 14.16,57.91 ± 12.79
proud -> angry,base,82.05 ± 8.09,35.86 ± 17.12,37.02 ± 16.29
proud -> angry,VisTA,64.51 ± 14.70,53.18 ± 11.29,44.99 ± 9.26
proud -> angry,CCVAE,78.15 ± 8.58,32.84 ± 16.42,33.13 ± 14.95
proud -> angry,our_GRE,71.88 ± 10.17,34.39 ± 16.46,32.09 ± 13.35
proud -> angry,TUPL,98.96 ± 1.04,54.01 ± 11.75,65.01 ± 12.81
proud -> angry,our_TUPL_interp_src2tgt,97.92 ± 1.32,61.43 ± 10.97,72.85 ± 8.64
proud -> childlike,base,72.57 ± 8.86,32.02 ± 15.86,31.21 ± 14.12
proud -> childlike,VisTA,53.27 ± 15.57,35.96 ± 13.23,28.01 ± 12.08
proud -> childlike,CCVAE,68.75 ± 9.61,31.30 ± 15.69,29.49 ± 13.38
proud -> childlike,our_GRE,67.36 ± 9.77,32.75 ± 16.21,30.27 ± 13.70
proud -> childlike,TUPL,95.49 ± 1.90,57.09 ± 13.05,66.70 ± 12.94
proud -> childlike,our_TUPL_interp_src2tgt,89.58 ± 3.73,46.98 ± 8.00,58.81 ± 8.07
proud -> depressed,base,79.81 ± 8.97,20.39 ± 9.25,26.10 ± 11.68
proud -> depressed,VisTA,45.77 ± 13.69,42.86 ± 12.23,27.74 ± 9.27
proud -> depressed,CCVAE,78.22 ± 9.50,19.20 ± 8.68,24.63 ± 11.02
proud -> depressed,our_GRE,71.65 ± 11.16,26.96 ± 12.37,27.44 ± 12.49
proud -> depressed,TUPL,97.21 ± 2.12,53.90 ± 4.57,68.82 ± 3.75
proud -> depressed,our_TUPL_interp_src2tgt,87.58 ± 3.91,22.53 ± 5.23,34.49 ± 7.00
proud -> neutral,base,78.29 ± 9.25,32.46 ± 16.14,32.47 ± 14.68
proud -> neutral,VisTA,72.92 ± 10.91,40.68 ± 8.99,45.65 ± 10.14
proud -> neutral,CCVAE,77.10 ± 9.68,31.62 ± 15.85,31.53 ± 14.37
proud -> neutral,our_GRE,72.44 ± 10.11,32.46 ± 16.14,29.81 ± 13.48
proud -> neutral,TUPL,98.96 ± 1.04,64.49 ± 6.51,77.23 ± 4.46
proud -> neutral,our_TUPL_interp_src2tgt,88.54 ± 9.36,51.44 ± 15.47,58.38 ± 13.68
proud -> old,base,75.81 ± 10.07,21.88 ± 9.79,26.34 ± 11.89
proud -> old,VisTA,46.33 ± 12.76,39.22 ± 12.06,27.27 ± 10.53
proud -> old,CCVAE,74.88 ± 10.38,21.88 ± 9.79,25.99 ± 11.75
